,job_title,job_loc,description_tokens
0,data analyst intern,KS,[]
1,data analyst intern,,['r']
2,data analyst intern,,"['python', 'r', 'java']"
3,data analyst intern,NY,[]
4,data analyst intern,NY,"['word', 'jupyter', 'sql', 'outlook', 'numpy', 'excel', 'python', 'powerpoint', 'tableau', 'matplotlib', 'pandas']"
5,data analyst intern,,[]
6,data analyst intern,MT,"['power_bi', 'excel', 'tableau']"
7,data analyst intern,CA,"['power_bi', 'excel', 'tableau']"
8,data analyst intern,WA,"['c', 'java', 'linux', 'python']"
9,data analyst intern,TX,"['power_bi', 'python', 'power_bi', 'sql', 'excel']"
10,data analyst intern,MD,['excel']
11,data analyst intern,IN,"['word', 'power_bi', 'outlook', 'excel', 'powerpoint', 'tableau']"
12,data analyst intern,TX,"['power_bi', 'python', 'tableau', 'sql', 'azure']"
13,data analyst intern,FL,[]
14,data analyst intern,CA,"['sql', 'python', 'r']"
15,data analyst intern,AR,"['python', 'power_bi', 'tableau', 'sql', 'excel']"
16,data analyst intern,WA,"['javascript/typescript', 'python', 'tensorflow', 'pytorch']"
17,data analyst intern,IL,"['sap', 'spreadsheet', 'outlook', 'spreadsheet', 'powerpoint', 'word', 'excel']"
18,data analyst intern,UT,"['powerpoint', 'word', 'excel']"
19,data analyst intern,MI,['sas']
20,data analyst intern,UT,"['powerpoint', 'word', 'excel']"
21,data analyst intern,CA,['python']
22,data analyst intern,UT,"['python', 'r', 'linux/unix', 'hadoop', 'sql', 'spark']"
23,data analyst intern,IL,"['go', 'powerpoint']"
24,data analyst intern,MD,"['sql', 'excel']"
25,data analyst intern,MD,"['java', 'python', 'r', 'c++']"
26,data analyst intern,AR,"['python', 'r', 'tableau', 'sql']"
27,data analyst intern,CA,"['python', 'outlook']"
28,data analyst intern,MO,[]
29,data analyst intern,MA,[]
30,data analyst intern,MN,[]
31,data analyst intern,MD,"['power_bi', 'sql', 'keras', 'matlab', 'python', 'r', 'plotly', 'tableau']"
32,data analyst intern,AZ,"['power_bi', 'outlook', 'sharepoint']"
33,data analyst intern,VA,"['powerpoint', 'word', 'excel', 'sharepoint']"
34,data analyst intern,,"['python', 'r']"
35,data analyst intern,,"['python', 'r', 'jupyter', 'aws']"
36,data analyst intern,CO,"['power_bi', 'visio', 'excel', 'sharepoint']"
37,data analyst intern,VA,['java']
38,data analyst intern,MA,"['power_bi', 'sql', 'excel', 'python', 'r', 'tableau', 'vba']"
39,data analyst intern,NV,"['css', 'python', 'jquery', 'html', 'vue', 'js', 'node.js']"
40,data analyst intern,,[]
41,data analyst intern,NY,"['go', 'excel', 'powerpoint']"
42,data analyst intern,NJ,"['python', 'r', 'excel']"
43,data analyst intern,GA,"['python', 'java']"
44,data analyst intern,CO,"['python', 'r', 'java']"
45,data analyst intern,CA,['sharepoint']
46,data analyst intern,IA,[]
47,data analyst intern,,[]
48,data analyst intern,,['r']
49,data analyst intern,ND,"['power_bi', 'excel']"
50,data analyst intern,,"['python', 'linux', 'sql', 'git', 'aws']"
51,data analyst intern,,"['python', 'linux/unix', 'bash', 'git', 'aws', 'html']"
52,data analyst intern,,[]
53,data analyst intern,,['excel']
54,data analyst intern,CT,"['excel', 'tableau']"
55,data analyst intern,MA,"['powerpoint', 'tableau', 'word', 'excel', 'go']"
56,data analyst intern,NY,[]
57,data analyst intern,,"['sas', 'python', 'r', 'sap', 'tableau', 'tensorflow', 'pandas', 'aws']"
58,data analyst intern,NY,[]
59,data analyst intern,NC,"['docker', 'java', 'python', 'ruby', 'aws', 'azure', 'linux/unix']"
60,data analyst intern,CA,[]
61,data analyst intern,GA,"['c', 'python', 'c++', 'java']"
62,data analyst intern,CA,"['c', 'python', 'pl/sql', 'gitlab', 'c++', 'shell', 'perl', 'sql', 'java', 'git', 'assembly']"
63,data analyst intern,CA,"['asp.net', 'javascript', 'css', 'sql', 'java', 'html']"
64,data analyst intern,,"['python', 'r', 'excel']"
65,data analyst intern,UT,"['sql', 'r', 'tableau', 'git']"
66,data analyst intern,MO,"['sql', 'r', 'tableau', 'git']"
67,data analyst intern,NC,"['sql', 'r', 'tableau', 'git']"
68,data analyst intern,CA,"['python', 'linux', 'c++', 'tensorflow', 'spark', 'pytorch', 'azure', 'aws']"
69,data analyst intern,TX,"['javascript', 'sql', 'redshift', 'postgresql', 'c', 'graphql', 'aws', 'redis', 'typescript']"
70,data analyst intern,,[]
71,data analyst intern,,"['tableau', 'visio', 'excel']"
72,data analyst intern,WA,['azure']
73,data analyst intern,CO,"['javascript', 'python', 'ruby', 'node.js']"
74,data analyst intern,MN,"['power_bi', 'python', 'r', 'tableau', 'sql', 'looker']"
75,data analyst intern,PA,"['c', 'python', 'tensorflow']"
76,data analyst intern,TX,"['bash', 'gcp', 'scala', 'mysql', 'go', 'python', 'aws', 'twilio']"
77,data analyst intern,TX,"['javascript', 'css', 'jquery', 'azure', 'git', 'selenium']"
78,data analyst intern,MA,"['sql', 'sas', 'python', 'r', 'tableau']"
79,data analyst intern,CA,"['sql', 'sas', 'python', 'azure']"
80,data analyst intern,NY,['java']
81,data analyst intern,CA,"['c', 'python', 'tensorflow']"
82,data analyst intern,NC,"['python', 'javascript', 'c++', 'java']"
83,data analyst intern,MD,"['python', 'javascript', 'c++', 'java']"
84,data analyst intern,CA,"['tensorflow', 'linux', 'matlab', 'python']"
85,data analyst intern,FL,"['sql', 'spark', 'java', 'python', 'aws', 'numpy', 'tableau', 'pandas']"
86,data analyst intern,IA,['java']
87,data analyst intern,NC,"['python', 'c/c++', 'java', 'go', 'matlab']"
88,data analyst intern,NY,"['c', 'python', 'perl', 'sql', 'git']"
89,data analyst intern,MD,[]
90,data analyst intern,CO,"['c', 'python', 'bash', 'powerpoint', 'c++', 'word', 'visio', 'java', 'excel', 'html']"
91,data analyst intern,CA,"['python', 'c/c++', 'java', 'go', 'matlab']"
92,data analyst intern,UT,"['power_bi', 'matplotlib', 'tableau', 'sql', 'qlik', 'alteryx', 'pandas']"
93,data analyst intern,VA,"['python', 'javascript', 'c++', 'java']"
94,data analyst intern,CA,['excel']
95,data analyst intern,TX,"['python', 'r', 'c++', 'java']"
96,data analyst intern,CA,"['python', 'javascript', 'excel', 'ruby']"
97,data analyst intern,WA,"['javascript', 'css', 'jquery', 'azure', 'git', 'selenium']"
98,data analyst intern,MA,[]
99,data analyst intern,TX,"['python', 'javascript', 'excel', 'ruby']"
100,data analyst intern,OR,"['golang', 'python', 'aws']"
101,data analyst intern,,"['sql', 'excel', 'aws', 'php']"
102,data analyst intern,IN,"['javascript', 'css', 'sass', 'mysql', 'linux', 'jquery', 'html', 'php', 'git']"
103,data analyst intern,VA,"['python', 'aws']"
104,data analyst intern,CA,"['tensorflow', 'gitlab', 'python', 'pytorch', 'c++']"
105,data analyst intern,FL,"['word', 'outlook', 'excel', 'powerpoint']"
106,data analyst intern,FL,"['sql', 'nosql', 'java', 'python', 'node.js', 'git']"
107,data analyst intern,GA,['r']
108,data analyst intern,OR,"['golang', 'python', 'aws']"
109,data analyst intern,AZ,"['c', 'python', 'r', 'javascript', 'css', 'sql', 'vb.net', 'html']"
110,data analyst intern,CA,"['spark', 'python', 'rust']"
111,data analyst intern,NY,"['javascript', 'css', 'java', 'python', 'unix/linux', 'html']"
112,data analyst intern,CA,"['sql', 'numpy', 'python', 'pandas']"
113,data analyst intern,,"['javascript', 'css', 'html', 'splunk']"
