job_num,job_title,job_comloc,job_experience,job_description
1,Engineering/Design Intern,"Marley Engineered Products Overland Park, KS",Internship · Internship,"About the job
Want to be part of a professional, caring team focused on making a difference in communities around the world? Headquartered in Overland Park, Kansas, SPX Cooling Tech is an innovative manufacturer of commercial HVAC and industrial cooling systems for hospitals, data centers, oil and gas refineries, power plants and process cooling facilities around the globe. Companies rely on SPX Cooling Tech’s Marley, Recold and SGS brands to provide comfort, mission critical and industrial cooling solutions.

New hires at SPX Cooling Tech enjoy a supportive work environment with benefits that begin on the first day of work, including mentorship and tuition assistance, a competitive compensation and bonus plan, flexible health plan, 401(k) match, and opportunities for career advancement.

When it began as the Marley Company more than 100 years ago, SPX Cooling Tech was the first cooling tower manufacturer to pioneer cooling solutions for large industrial applications. Since then, we have worked together as a company to provide innovative solutions for iconic buildings and essential infrastructure all around. Now, SPX Cooling Tech and its brands are active in more than 80 countries, and rapidly growing organically and through acquisitions as part of SPX Tech.

With its people-centric culture, SPX Cooling Tech prides itself on attracting top talent to the industry. Apply to work with our ever-growing team and help us keep the world cool!

Job Summary

Principal Duties and Responsibilities

Assignments will be tailored to the coursework completed by the intern and may include:
Assisting in product development work, which could include design and analysis Product improvement projects including design, layout, technical feasibility and economic study
Drawing (AutoCAD) and/or solid modeling assignments to assist development projects
Assemblage of product standards in preparation for automation or design process improvements
Component or product testing to support product development projects
Modification of engineering design programs and templates for code revisions, product revisions and enhancements

Education/Experience

Bachelor of Science degree in Civil/Structural Engineering, Design/Drafting Technology, or Engineering Technology in progress
Cumulative college GPA of 3.0 or higher
Skill at hand-sketching 2- and 3-D objects
Knowledge of and ability to apply the fundamental concepts, practices, and procedures of engineering field of study to projects
High level of creativity and strong ability to visualize complex spatial geometry
Strong verbal and written communication skills
Passion for productivity improvement and design enhancement
Programming experience preferred

Our intern and co-op positions are paid, and we offer housing stipends for students who are not local to the Kansas City area.

Thank you for your interest in our company."
2,Internship: Digital Marketing and Data Analysis,"Twisted Throttle LLC Rhode Island, United States Hybrid",Internship · Entry level,"About the job
This job is sourced from a job board. Learn more
The Company. Twisted Throttle® is an established company with a healthy growth record and a dynamic management team. Located in Exeter, Rhode Island, Twisted Throttle was founded at the cusp of the now-exploding adventure motorcycling craze and is currently positioned as one of the major players in the market. We provide premium bolt-on motorcycle accessories for the adventure, sport-touring, and sport bike markets, primarily serving European and Japanese motorcycle riders. As exclusive North American distributor for leading powersports and ADV brands (including SW-Motech, R&G and others), we also specialize in prototyping, product development, wholesale distribution, and Internet retail sales for the full line of Twisted Throttle’s house of brands.

Paid Internships Are Available For Students In Many Of The Functional Areas Of Our Company, Including

The Experience. Our interns are placed within teams and given a manager and mentor to help them build technical skills, cultural competencies, and self confidence. By being integrated into a team, our interns get the opportunity to work on projects that have a real impact on our bottom line.

Developing and executing email campaigns
Intepreting Google Analytics and paid search analytics
Customer segmentation and behavior analysis
Tradeshow management
and more!

We are located in Exeter, Rhode Island (20 minutes west of URI in South Kingstown via route 138, 30 minutes south of RISD in Providence via I-95, or 45 minutes west of Salve Regina in Newport). Seasonal and annual internships are available with flexible hours, and many interns stay on after graduation as full time employees. Come join us for fun, learning, and motos!

Working Conditions: Enthusiasm for motorcycles is preferred for all positions at Twisted Throttle, as enthusiasm for any sport, outdoor, or adventure activity is key to fitting in with our passionate culture. (All new hires without previous motorcycle experience are provided opportunity to attend the motorcycle safety course and obtain their motorcycle driver's license.) Whether you are a motorcycle enthusiast or not, count on the contagion of the Twisted Throttle organization’s passion and drive. You will work in an office environment with a great management team that loves to work hard, have fun, and win!

Benefits And Perks

The Tame. Twisted Throttle provides competitive benefits for full time staff, including multiple health, dental and vision insurance options, Health Savings Account (HSA), Flexible Spending Account (FSA), term life insurance equivalent to one year's pay, 401k with company match, gym membership reimbursement, an Employee Assistance Program (EAP), subsidized classes and convention entry for professional development, and paid time off that grows with your time at the company. AFLAC benefits, including Cancer, Life, Disability and Accident plans, are also available.
The Twisted. Aside from awesome discounts on powersports gear and motorcycles, our culture includes a few unconventional traditions. Quarterly employee appreciation days include Nerf jousting, trips to breweries, and motorcycle release parties. Our weekly ""Meat Wednesday"" is a group lunch where all departments get together for fun, recognition and vittles. Our Ducati espresso machine keeps us fueled in the office, and our Moto Sabbatical rewards completing four years of service with a nine-day paid motorcycle-related trip; Twisted Crew members have ventured on two wheels to Alaska, Key West, the Alps, Mexico and more on their sabbaticals.

Powered by JazzHR"
3,Data Management and Analysis Co-op/Intern - Fall 2023,"American Honda Motor Company, Inc. Greater Cleveland On-site",$15.32/hr - $23.95/hr (from job description) · Internship,"About the job
Data Management and Analysis Co-op/Intern – Fall 2023

This job description reflects potential openings for the Fall 2023 Co-op/Internship Session (Late August - December). This is a general job description and represents multiple openings in various departments. Honda offers both single and multi-semester co-ops and internships. College students must apply to the requisition pertaining to their major and semester of interest.

Please note: Sponsorship for employment visa status for these positions is unavailable. Applicants requiring sponsorship for employment visa status now or in the future (e.g., F-1 CPT/OPT, H-1B, TN, etc.) will not be considered.

Honda Co-operative and Learning Internships

Here at Honda, we pride ourselves in the invaluable experience we provide our Co-ops and Interns with. Honda Co-ops/ Interns are tasked with hands on, project based worked relevant to their department of placements current needs (this means no coffee runs or stereotypical intern duties). Projects may be as large as developing a new test, designing systems, traveling to suppliers or serving as a project manager! In addition to the full-time associate work that our Co-ops/ Interns are given the access to work on, Honda Co-ops/ Interns are invited to participate in a variety of paid work events and experiences offered by the Honda Co-op and Internship program team. Events include but are not limited to Q&A sessions with high level associates, tours of various Honda facilities, social events, volunteer opportunities and much more!

Dreams l Joy l Passion l Respect l Challenging Spirit

The ideal Honda Co-op/ Intern candidate feels connected to our core values and is looking to make an impact within a global organization with all 7 continents running Honda equipment or vehicles (yes, even Antarctica). You are a dreamer and often identify areas of opportunity and take initiative to improve them yourself. You are passionate about your work and respect others. You want to be a part of something larger than you- the joy of creating, selling and buying! These values define Honda and encapsulate our rich history and what continues to push us forward in a competitive era of mobility. It’s a big team for a big effort, and we need individuals with varying perspectives to make our products great. Because different people, with different perspectives and ideas are the key to helping Honda bring the future!

More about the Data Management and Analysis Co-op/ Intern at Honda

Work Environments And Projects May Include But Are Not Limited To

The below descriptions reflect potential environments and duties within our various Data Maangement and Analysis Co-op/ Intern positions that we offer.

Manufacturing
Working with various manufacturing departments and production control teams to develop required reports for department project roll-outs
Interface with appropriate upper management and production leadership to determine musts and wants for project data and reporting functions
Design, create and issue appropriate production associate reporting paperwork within the ISO framework for areas as needed
Support development of operation standards and/ or training materials for project implementation
Required

What you need to be successful in this role
Basic Business coursework
Minimum 2.5 Cumulative GPA or higher (You will be required to provide your current transcript)
Class status- Sophomore (by credit hour) or above
Availability to work a minimum of 10 weeks at 40 hours per week
Enrollment in a Bachelor's or Master's degree program studying Data Analytics, Business, or related field
Valid U.S. Driver's License (exceptions considered in California on a case-by-case basis)
Ability to provide own transportation to and from work each day (exceptions considered in California on a case-by-case basis)
Desired
Programming with languages like Python, R or Java, Data Management or modeling, Data Mining, Visual Analytics, Statistics
Position Locations

Data Analytics Co-op/ Intern positions are offered in the cities/ states listed below, if you are selected to move forward in the process, you will be given the opportunity to make selections on your location preferences:
Raymond, Ohio (45 minutes northwest of Columbus, Ohio)
Marysville, Ohio (45 minutes northwest of Columbus, Ohio)
Torrance, CA (30 minutes south of Downtown Los Angeles)
Honda Co-operative And Learning Internships Program Benefits

Housing Accommodations: Honda offers housing at a shared cost or a housing stipend based on location for our Co-ops and Interns. It is not required to opt-in to, but is available should you need housing at the time of your Co-op/ Internship with Honda.

Honda Business Resource Groups: One of the ways Honda gives diversity a voice is through its business resource groups. The associate-led, company-supported groups have members aligned across different dimensions of diversity such as gender, ethnicity, ability, life stage and experiences. The groups provide networking opportunities, a chance to give back and professional development. Some groups have even given feedback on Honda products, making them more appealing to all. Embracing all views is what will drive us into the future. Honda wants passionate, driven people to be a part of that future.

Performance Feedback: Honda Co-ops and Interns will have the opportunity to receive informal and formal feedback from their leaders, ask questions and express future interest in a scheduled mid-term and final evaluation.

Mentorship: Each Co-op/ Intern is assigned a mentor in your department to help you navigate your time at Honda.

On-site Wellness Center: Co-ops and Interns have access to join our Wellness Centers (varies by location). Our Wellness Centers are full gyms equipped with cardio machines, weights, basketball courts, pools, dieticians, personal trainers and group fitness classes.

Paid overtime: Co-ops and Interns will receive 1.5 times their hourly rate of pay for any overtime worked.

Consideration for full time employment: Our Cooperative Learning Internships program is utilized as a talent pipeline for our full time positions!

Hourly Wage Range: $15.32- $23.95

Pay will be based on several variables that include, but not limited to, geographic location, work experience, education, etc.

Additional details regarding Honda Co-op and Intern benefits are provided upon offer.

American Honda Motor Co"
4,Analytics Intern - Summer 2023,"FreshDirect Bronx, NY On-site",Internship · Internship,"About the job
Brief Description

FreshDirect is excited to offer an Analytics Internship for our Summer 2023 program. The program will offer the student 10 weeks to work on meaningful projects, network with colleagues across the business and partake in activities to build relationships.

Responsibilities:
Customer research targeted loyal customers to understand their shopping preferences and what make them loyal
Customer shopping behavioral profiles by customer segments, including customer profile, marketing channel mix, basket mix, and etc.
Correlation between out of stock and customers' baskets and/or retention
Customer cart conversion and basket analysis to understand the fall-off points between add-to-cart and checkout
Customer basket building journey and product addition sequencing to understand the steps it takes for customers to build their order and the places where they interact the most on the site.

Education and Qualifications:
Enrolled in related Master’s degree program.
Experience in Data & Analytics tools.
Knowledge of Microsoft Office Suite.
Must embody and demonstrate company values and culture.

Who is FreshDirect?

FreshDirect is the northeast's leading online fresh food grocer, delivering directly to customers throughout seven states, including the New York City, Philadelphia, and District of Columbia metropolitan areas. FreshDirect is committed to sourcing the freshest and best-tasting meat, fish, produce, and specialty items through direct relationships with suppliers, growers, and farmers. FreshDirect is proud to have joined the multi-national grocery and technology organization, Ahold Delhaize, at the beginning of 2021. This acquisition will fuel FreshDirect’s growth as a leading eCommerce grocer in the United States.

From the beginning, FreshDirect has set out to provide something different. We are a community partner with a mission to deliver the highest quality and service that customers can find. This is an environment in which associates can innovate, grow and have successful careers—most of our leaders have come up through our ranks. And thanks to our team’s extraordinary efforts, we are a leading innovator in the e-commerce and grocery industries.

Why choose FreshDirect?

We're a company that thrives on teamwork. Our evolution is driven by our passionate employees and investment in perfecting the technology that lets us deliver the highest-quality food. Our state-of-the-art facility creates an environment for innovation. We support our employees with on-the-job training for plant employees and drivers, team-building activities, workplace recognition opportunities, and by encouraging direct relationships with our suppliers in the field.

Great people deserve great perks. We offer comprehensive benefits, plus many workplace extras, including:
Learning & Development opportunities to grow your career at FreshDirect
20% off any orders placed through freshdirect.com
Access to FD Market, FreshDirect’s onsite discounted employee grocery store
24-hour access to the FreshDirect shuttle between our Bronx headquarters and the subway
Regular events and barbecues to share our gratitude for our employees’ hard work

Click to explore careers and life @ FreshDirect

Learn more @FreshDirect on Twitter, Instagram, Facebook, YouTube!

Disclaimer: The above statements are intended to describe the general nature and level of work being performed by the Team member(s) assigned to this position. They are not intended to be an exhaustive list of all responsibilities, duties, and skills required of individuals in this position. Position Descriptions may be subject to change as the needs of the organization change.

As an EQUAL EMPLOYMENT OPPORTUNITY EMPLOYER, FreshDirect does not discriminate against applicants or employees because of their race, color, citizenship status, national origin, ancestry, sex, sexual orientation, gender identity, age, religion, creed, marital status, veteran status, domestic violence victim status, familial status, or on any other basis prohibited by law. Furthermore, FreshDirect will not discriminate against any applicant or employee because they are disabled, a disabled veteran, or a veteran of the Vietnam era, provided they are qualified and meets the requirements established by FreshDirect for the job.

COVID-19 Vaccination Requirement

FreshDirect, in compliance with New York City law, is requiring that all employees working in any of our New York City locations be fully vaccinated against COVID-19, unless they are approved for a medical or religious accommodation. As a part of this process, you will be required to provide supporting documentation about the reason you cannot be vaccinated. If your request for an accommodation is not approved, then your employment will be terminated.

You are required to be fully vaccinated for COVID-19 prior to your first day of employment and to provide proof of your vaccination status no later than your first day of your employment. Failure to provide timely proof of your COVID-19 vaccination status will result in you being placed on an unpaid leave of absence and potential termination of employment from FreshDirect."
5,Data Analyst Apprentice,"Evergreen Trading New York, NY Hybrid","$45,000/yr (from job description) · Internship · Internship","About the job
Position Description

Evergreen Trading is looking for an individual with the potential to be a great Data Analyst to join the team for a yearlong paid apprenticeship.The successful candidate will rapidly grow into the role of Data Analyst and learn skills on-the-job to support the Digital Investment team with data reporting needs across their portfolio of clients.

Who are you today?

You may not have a college degree or a career history in Data Analytics, but you love data, are meticulous, have high attention to detail, and are curious to uncover insights, patterns & trends.
You might have some data analytics skills already, but do not have to have all the skills or experience to do this job.
You are a good communicator, enjoy working with people, and thrive in a fast-paced environment.
You love to solve problems, develop creative solutions, and to collaborate with others to get projects completed
You can adapt to the ever changing needs of client projects, and have the tenacity, responsibility and commitment to follow through and get things done
You have the right mix of attitude, aptitude, and commitment to take on this opportunity. It will be hard work, and if you are willing to learn this program will kick-start your career.

Duties & Responsibilities (you Will Learn On The Job)

Work with the Digital Investment team to support campaigns to meet client needs.
Communicate data, trends, and measurement to clients and colleagues
Develop effective reporting and dashboards to communicate information, insights, and intelligence to clients and colleagues
Analyze data to generate insights that support performance analysis and optimization
Clean, prepare, and analyze data to support internal and external client needs
Communicate effectively on projects to manage internal and external expectations

Prior Experience, Skills & Abilities

Highly detail-oriented, organized and data-driven
Able to communicate effectively and work well with a team
Love learning and are ready to develop new technical and professional skills
Basic proficiency in MS Office skills including Excel, PowerPoint, Word, and Outlook

Tools & Technologies Used in This Role (prior experience not required)

Python, Jupyter Notebook
Data analytic tools {NumPy, Pandas, Matplotlib, Sci-kit learn)
SQL
Tableau

How does the Apprenticeship component work?

This is NOT an internship, it’s a paid position for someone looking to develop their career in Data Analytics.
As an apprentice, you have the opportunity to learn and develop skills on the job. Each week you are given time to study, learn and practice what’s needed to succeed.
The program is a 12-month intensive training program focusing on Data Analytics in the Digital Media environment that is designed to teach you to do the job.
Your day-to-day responsibilities are similar to a regular professional. As a data analyst apprentice, your role is to gather and inspect the company’s data and extract essential information to support various decision-making processes.
As an apprentice, you get to learn this while you work, during office hours.

SALARY: $45,000

The above represents the expected base salary for this role. Exact compensation is determined by level of experience, location, and other job-related factors."
6,Data Science Intern,Atmosfy United States Remote,$45/hr - $55/hr (from job description) · Internship · Internship,"About the job
Who are you?

Simply put, you're a highly analytical thinker that's passionate about travel and supporting local businesses. You love discovering new places, and you're excited to join our mission of supporting businesses globally through the power of sharing. You're a bit of a food and drink aficionado, and you're ready to make an impact on a global scale by helping to support our Data Science Org. Sound like you? Then read on, friend, and let's get to it!

About The Role

Atmosfy is seeking a highly Data Science intern to work directly with Data Science and Product Analytics team. This position will work closely with Growth Leads and Product Leads to analyze and optimize the user experience.

Compensation

$45 - $55 hourly

Responsibilities

What you'll be doing?

As an intern, you will be expected to be hands-on and routinely exercise independent judgment in delivering new Data Science/Machine Learning insights

Work closely with product management to understand product vision and user engagement strategy
Work with Software Engineers to deliver on the Data Science Roadmap in a fast-paced environment
Balance the business needs with technical constraints by building deep subject matter expertise for your area
Maintain the team's focus on strategy and goal-oriented results when tackling complex problems
Provide regular updates about program progress, issues, and risks to key stakeholders
Comfortable with hands-on, day-to-day problem solving, implementing quick and effective action plans to meet short-term priorities and emerging opportunities
Qualifications

What we're looking for?

Passion for data science and delivering data-driven outcomes
Strong analytical and problem-solving skills
Understanding of Machine Learning concepts and tools
Hands-on technical skills with the inquisitiveness to learn products, work with them, and provide recommendations to drive continuous improvement
Able to work independently yet collaborate cross-functionally in a global and multicultural environment
Comfortable and effective working in new areas that require experimentation and rapid problem solving
About Company

We are Atmosfy.

And we're the fastest growing platform globally for live video of dining and nightlife - that shows you what's happening in your city in real time. More than that, though - we help support local businesses globally by sharing unique experiences through video. How cool is that? We help people in more than 150 countries and 10,000+ cities discover the world's best experiences.

Our team draws on talented people who have worked at best-in-class companies such as Instagram, TikTok, and Netflix. We are funded by world-class investors.

Check us out on the App Store or Google Play to learn more about our mission to share experiences, inspire others, and support local businesses around the world."
7,Junior Data Analyst (Remote Internship – Data Analysis),"TalentKompass Deutschland Malta, MT Remote",Internship,"About the job
LOCATION: Remote Work

SCHEDULE: Part-time

Are you an aspiring data analyst seeking an unparalleled opportunity to gain hands-on experience while working with a prestigious Management Consulting firm? TalentKompass Deutschland, a leading Human Resources company based in Germany, is searching for a highly motivated Data Analysis Intern to join our esteemed client. This remote position offers a unique chance for someone who is passionate about data analysis and eager to learn in a dynamic and fast-paced environment.

As a Data Analysis Intern, you will work closely with the analytics and consulting teams, where you will be responsible for a range of tasks, including data collection, data cleaning, and statistical analysis. You will have the extraordinary opportunity to learn from experienced professionals who will provide mentorship and guidance throughout the internship. With this internship, you will gain valuable experience in data analysis, data visualization, and teamwork – all essential skills for a successful career in this field.

Responsibilities:

Collect, clean, and analyze data from various sources to support consulting projects
Assist in the development of data models and statistical analysis to identify trends and insights
Collaborate with cross-functional teams to gather and analyze data
Create data visualizations and dashboards using tools such as Tableau or Power BI
Present findings and insights to the consulting team and contribute to project reports
Participate in brainstorming sessions and contribute ideas for data-driven solutions
Support the team with general administrative tasks as needed

Requirements:

Strong analytical and problem-solving skills
Proficient in Microsoft Excel or other data analysis tools
Excellent written and verbal communication skills in English
Familiarity with data analysis principles and practices
Ability to work independently and as part of a team
Strong organizational skills and the ability to manage multiple projects simultaneously
Knowledge of statistical analysis tools and techniques is a plus
Experience with data visualization tools such as Tableau or Power BI is a plus

At TalentKompass Deutschland, we are committed to helping our interns develop their skills and reach their full potential. Our client is a reputable Management Consulting firm that will provide invaluable experience in a competitive industry. Don't miss this fantastic opportunity to grow your career in data analysis – apply now!"
8,Junior Data Analyst (Remote Internship – Data Analysis),"TalentKompass Deutschland Lucerne, CA Remote",Internship,"About the job
LOCATION: Remote Work

SCHEDULE: Part-time

Are you an aspiring data analyst seeking an unparalleled opportunity to gain hands-on experience while working with a prestigious Management Consulting firm? TalentKompass Deutschland, a leading Human Resources company based in Germany, is searching for a highly motivated Data Analysis Intern to join our esteemed client. This remote position offers a unique chance for someone who is passionate about data analysis and eager to learn in a dynamic and fast-paced environment.

As a Data Analysis Intern, you will work closely with the analytics and consulting teams, where you will be responsible for a range of tasks, including data collection, data cleaning, and statistical analysis. You will have the extraordinary opportunity to learn from experienced professionals who will provide mentorship and guidance throughout the internship. With this internship, you will gain valuable experience in data analysis, data visualization, and teamwork – all essential skills for a successful career in this field.

Responsibilities:

Collect, clean, and analyze data from various sources to support consulting projects
Assist in the development of data models and statistical analysis to identify trends and insights
Collaborate with cross-functional teams to gather and analyze data
Create data visualizations and dashboards using tools such as Tableau or Power BI
Present findings and insights to the consulting team and contribute to project reports
Participate in brainstorming sessions and contribute ideas for data-driven solutions
Support the team with general administrative tasks as needed

Requirements:

Strong analytical and problem-solving skills
Proficient in Microsoft Excel or other data analysis tools
Excellent written and verbal communication skills in English
Familiarity with data analysis principles and practices
Ability to work independently and as part of a team
Strong organizational skills and the ability to manage multiple projects simultaneously
Knowledge of statistical analysis tools and techniques is a plus
Experience with data visualization tools such as Tableau or Power BI is a plus

At TalentKompass Deutschland, we are committed to helping our interns develop their skills and reach their full potential. Our client is a reputable Management Consulting firm that will provide invaluable experience in a competitive industry. Don't miss this fantastic opportunity to grow your career in data analysis – apply now!"
9,Software Development Internships (Summer 2023),"Agilysys Bellevue, WA On-site",Internship · Internship,"About the job
Description

Do you want to solve business challenges through innovative technology? Do you enjoy working on cutting-edge technology in a fast-paced team environment? Do you love working on industry defining projects that move the needle?

If this describes you, consider joining us as an intern in the summer of 2022! Agilysys interns will have the opportunity to engage with other engineers for both personal and professional development, expand your network, and participate in fun activities throughout the summer. Our interns write real software and partner with a manager and mentor to work on critical projects from the start. Your design, code, and raw talents will have an impact on the future of Agilysys products.

Agilysys internships are full-time with start dates in June 2022. Applicants should have at a minimum one quarter/semester remaining after their internship concludes.

Key Job Responsibilities
Collaborate with experienced engineers to conceive, design, and bring to market innovative features and solutions
Design and build innovative technologies that help lead fundamental changes to the hospitality industry
Build hospitality technologies that are scalable, fault-tolerant, low cost, and easy to manage and use

Basic Qualifications
Currently enrolled in Computer Science, Software Engineering (or related technical discipline such as User Experience)
Experience with object-oriented design and coding skills – Java, C#, Python
Experience on a Linux or Mac platform
Ability to effectively articulate technical challenges and solutions
Adept at handling ambiguous or undefined challenges through strong problem-solving skills and effective communication

Applications are reviewed on a rolling basis. For an update on your status, or to confirm your application was submitted successfully, please login to the Jobvite portal. Please note that we are reviewing a high volume of applicants and appreciate your patience during this review.

Agilysys, Inc. (Nasdaq: AGYS) is a leading developer and marketer of enterprise software, services and solutions to the hospitality and retail industries. Agilysys has over 3,000 customers including some of the world’s most recognizable resort, casino and cruise line brands. The company specializes in market-leading point-of-sale, property management, inventory and procurement, and mobile and wireless solutions that are designed to streamline operations, improve efficiency and enhance the guest experience. Agilysys serves casinos, resorts, hotels, foodservice venues, stadiums, cruise lines, grocery stores, convenience stores, general and specialty retail businesses and partners. Agilysys operates extensively throughout North America, with additional sales and support offices in the United Kingdom, Singapore and Hong Kong. For more information, visit www.agilysys.com."
10,Data Scientist Intern,"TotalEnergies Houston, TX On-site",Internship · Internship,"About the job
Job Description

The Power Trading Front Desk in TGPNA has a big need for data aggregation. There are several power markets in the US for which we need to collect, store and analyze data in order to aid the decision-making process in the Front Desk. The candidate will help in the aggregation of data from different Power Markets as well as some of the visualizations that are currently being developed for the Power Trading Team. The candidate will also be helping develop optimization models for asset management like batteries.

Context and environment

Fast-paced, dynamic trading environment with time-sensitive, business critical activities requiring strong planning and organizational skills and attention to detail. This candidate will have solid analytical, problem solving and troubleshooting skills in order to recognize and solve problems quickly.

Candidate profile

You would be pursuing a bachelors in Computer Science, Data Science or Engineering and will be in your Junior or Senior year in the Fall of 2023. You would have taken coursework in Mathematics, Relational Databases, Programming, Data Structures and Algorithms, and/or in Statistics. You will have had exposure to and real working experience in:
Working with large volumes of data and manipulating using Python libraries
Querying data from a SQL Server database
Designing relationships in databases
Creation of visualizations using Python and/or PowerBI

The ideal candidate would have experience with SQL Sever, Python, creating Python Dashboards and Power BI.

Although not a strict requirement, understanding the US Power Markets and other energy related markets would be appreciated. Software experience would include: Excel, PowerBI, PyCharm, SQL Server Management Studio.

TotalEnergies regrets that it is unable to sponsor employment Visas or consider individuals on time-limited visa status for this position.

Offer ID

73228BR

Metier

Admin Sales Support/ Trading

Employment type

Fixed term position

Experience Level Required

Less than 3 years

Employer Company

TotalEnergies Gas & Power North America, Inc.

Branch

Gas Renewables And Power

About Us / Company Profile

At TotalEnergies we know that you're more than what's on your CV. If this opportunity excites you, but your profile doesn't exactly match the description above...give it a try & apply. Diversity of perspectives & experiences make us stronger.

TotalEnergies is a multi-energy company that produces and markets energies on a global scale: oil and biofuels, natural gas and green gases, renewables and electricity. Our 105,000 employees are committed to energy that is ever more affordable, clean, reliable and accessible to as many people as possible. Active in more than 130 countries, TotalEnergies puts sustainable development in all its dimensions at the heart of its projects and operations to contribute to the well-being of people.

TotalEnergies Gas and Power (TGP) is the trading arm of TotalEnergies in the field of low carbon energies (mainly gas, LNG and power). As such it operates in fast-evolving market dynamics influenced by internal and external factors that require constant adaptation and evolution. Uncertainties specific to the trading environment (volatility of prices, supply & demand mismatches) are coupled with those coming from the broader energy sector (climate change policies, changes in the energy mix, developments of new energy sources, etc). In such context TGP helps to ensure growth and profitability to a key segment of the business in order to reach the objective of Carbon Neutrality by 2050.

Our Culture:

We are committed to meet the energy needs of a growing population while fulfilling our ambition to be a major player in the energy transition. The volatility of the energy trading markets requires excellence in risk management and a culture of innovation.

Our people flourish in an environment that promotes expertise, entrepreneurship spirit, agility and a purpose-driven culture, generating boundless opportunities to learn, grow and achieve collaborative success while ensuring safety in all our operations.

We look for passion, ambition and open-mindedness. While we evolve in a demanding and ever-changing industry, we cultivate a friendly workplace where team spirit and respect guide our daily routine, and where the diversity of our people and their skills create a nourishing experience for all of us."
