,job_title,job_comloc,job_experience,job_description
0,Levy Summer Intern,"Levy Restaurants Charlotte, NC",Internship · Internship,"About the job
Levy Sector

Different perspectives make us better. We’re committed to creating an equal opportunity and fair treatment environment, where learning and growing together is just part of our every day. An environment where you can be your authentic self.

About Levy

The disruptor in defining the sports and entertainment hospitality experience, Levy is recognized as the market leader and most critically acclaimed hospitality company in its industry. Twice named one of the 10 most innovative companies in sports by Fast Company magazine and one of the top three Best Employers for Diversity in America by Forbes, Levy’s diverse portfolio includes award-winning restaurants; iconic sports and entertainment venues, zoos and cultural institutions, theaters, and convention centers; as well as the Super Bowl, Grammy Awards, US Open Tennis Tournament, Kentucky Derby, and NHL, MLB, NBA, NFL, and MLS All-Star Games.

Job Summary

As an intern, you will be working closely with Compass Group leaders to develop skills and competencies to be successful in your prospective industry. You will gain valuable experience in any of the following areas: operations, marketing, administration, guest services, problem solving, planning and implementation of innovative projects, and client relationship skills. This internship involves hands-on experiences which will provide opportunities for your personal success and development. This position is paid, but not eligible for benefits such as medical, relocation, or housing.

Compass Group Intern Requirements:
Must be enrolled in a college/university or technical program to receive college credit
Possess an interest in learning, observing, and practicing a variety of experiences in our industry
Demonstrate awareness, understanding, and skills necessary to work in a diverse environment
Excellent writing and editing skills
Articulate, with strong interpersonal skills
Ability to work well under pressure and meet deadlines
Solid project management acumen
Detail-oriented
Self-directed, proactive, and curious
Flexible and adaptable
Attitude of a leader
Enjoyment of building relationships

Curious about Life at Levy? Check it out: Levy Culture

Positions at this location may require a COVID-19 vaccination. Where permitted by law, applicants who are offered a position for this account may be asked about their vaccination status, which must meet minimum business requirements. All religious, medical, or other legally recognized exemptions regarding vaccination status will be considered.

Levy is a member of Compass Group USA. Compass Group/Levy is an equal opportunity employer. At Compass/Levy, we are committed to treating all Applicants and Associates fairly based on their abilities, achievements, and experience without regard to race, national origin, sex, age, disability, veteran status, sexual orientation, gender identity, or any other classification protected by law.

Qualified candidates must be able to perform the essential functions of this position satisfactorily with or without a reasonable accommodation. Disclaimer: this job post is not necessarily an exhaustive list of all essential responsibilities, skills, tasks, or requirements associated with this position. While this is intended to be an accurate reflection of the position posted, the Company reserves the right to modify or change the essential functions of the job based on business necessity.

We will consider for employment all qualified applicants, including those with a criminal history (including relevant driving history), in a manner consistent with all applicable federal, state, and local laws, including the City of Los Angeles’ Fair Chance Initiative for Hiring Ordinance, the San Francisco Fair Chance Ordinance, and the New York Fair Chance Act. We encourage applicants with a criminal history (and driving history) to apply.

Levy maintains a drug-free workplace."
1,Finance Intern,"MANN+HUMMEL Gastonia, NC On-site",$15/hr - $40/hr (from job description) · Internship · Internship,"About the job
Job Description

Your Challenge

As an intern, you will be assigned to one key project that you will manage during the internship. Results will be presented to the leadership team at the end of the internship program

Providing support to the Finance department
Broad opportunity to work with multiple projects from reporting to operational processes
Develop improvement concepts and present them to the leadership team
Work hands-on and spend time with co-workers to understand business processes and challenges
Be curious, willing to learn and to further develop supported by experienced colleagues
Any other duties as assigned

Your Profile

Education

Actively pursuing Associate’s, Bachelor’s or Master’s degree in any business, accounting or engineering related field in an accredited program
Current GPA 3.3 or better

Experience

Prior work experience in a manufacturing company is preferred, but not required
Previous experience or knowledge of Power Bi a plus

Required Skills:

Project management as well as strong organization and communication skills
Willingness to take responsibility for projects
Proficient in Microsoft Office Applications (Excel. Word, Power Point, Outlook, etc.)
Ability to multitask in a collaborative team and office setting
Meticulous, pro-active with positive attitude and willing to learn

Other:

While attending school: 15 - 20 weekly working hours (pay rate $15/hour)
While on break: 20 – 40 weekly working hours (pay rate $15/hour)
Internship duration is min. 6 months
Visa sponsorship is not available for internship positions

WHAT WE ARE OFFERING:

Are you full of ideas? Are you keen to take on responsibility and really achieve something? Then our doors are open to you. This is a company that lives its values, gives people the freedom to use their own initiative, offers many development opportunities and many exciting projects – all of which awaits you here.

To apply, please submit your resume, transcript, and short motivational letter via our career website.

The motivational letter should answer the following to questions: “Why are you interested in an internship at MANN+HUMMEL?” and “Which area are you most interested in?” We look forward to receiving your application!"
2,"Summer Intern, 2023","Fortune New York, NY Hybrid",$20/hr (from job description) · Internship · Internship,"About the job
At Fortune Media, we are reinventing how a storied brand, steeped in journalism and business, adapts to today’s digital-first world. The digital transformation of Fortune from a print magazine to a multi-channel media company is in full swing, and we want you to be a part of it.

Job Title: Summer Intern, 2023

About the Program:

The Summer Internship Program will give students an opportunity to gain experience in a variety of Fortune business units. As a Fortune Intern you will learn from the best minds in the industry and contribute to the success of a worldwide media brand. This is a unique opportunity to work with a dynamic group of leaders in a diverse and rapidly evolving organization.

The program is open to currently enrolled rising juniors and seniors and is designed to offer undergraduates an opportunity to gain hands on experience during the summer. The program will run for 8-10 weeks, beginning in mid June, running through early August (depending on the academic calendar of the intern).

Location: Manhattan, NYC (hybrid)

Qualifications:
You should be entering your junior or senior year of studies at an accredited college or university.
You must be in good academic standing and have strong Microsoft Office skills, as well as excellent written and verbal communication skills.
You should be able to work a 35 hour week during standard business hours.
You should be able to work a hybrid schedule that includes 3 days per week from our flagship office in Lower Manhattan, NYC
You should have a passion for media and a desire to learn in a fast-paced, collaborative environment

Pay Rate: $20.00/hr

Equality statement:

The policy of Fortune Media is to provide equal employment opportunities to all applicants and employees without regard to race, color, caste, creed, religion, sex, sexual orientation, gender identity or expression, marital status, citizenship status, age, national origin, ancestry, disability, or any other characteristic protected by applicable law. Fortune Media affirmatively seeks to advance the principles of equal employment opportunity and values diversity and inclusion.

For Residents of California: Our California Resident Applicant and Prospective Applicant Privacy Notice is located at this link: https://boards.greenhouse.io/fortune/jobs/4766493004"
3,Finance Intern,"Meggitt Simi Valley, CA On-site",Internship · Internship,"About the job
We are a global leader in the research, design, integration, manufacture, certification, and lifetime service of flight control, hydraulic, fuel and inerting, fluid conveyance, thermal management, lubrication, and pneumatic systems and components for aerospace and other high-technology markets. We support the world’s aircraft and aero engine manufacturers, providing a century of experience and innovation for commercial and military aircraft.

Joining our team means you’re helping to deliver our purpose of ‘Enabling Engineering Breakthroughs that Lead to a Better Tomorrow’. A career at Parker Meggitt offers boundless potential for professional and personal growth. You will work alongside the brightest minds in the world, help develop innovative technology and products and contribute to our company’s goal of solving the world’s greatest engineering challenges.

We have succeeded in employing the top talent in the industry by focusing our hiring efforts on the individual, not the job description. If you are an inquisitive thinker with great ideas and a desire to succeed, we will find the perfect spot for you on our team.

Job Designation

The Intern is a student, or a recent graduate undergoing on-the-job supervised training in preparation of a desired career. Performs a variety of tasks that provide business support to a functional area.

Job Core Responsibilities
Provides business support to an assigned functional area.
Assists with various projects such as performing research, gathering data, maintaining databases, files and documents.
Supports team daily operations by learning and participating in a variety of activities.
Assists in the creation of signage, circulars, mock ups, e-mail campaigns and on line promotion.
Participates in preparation and delivery of training materials.
Opens, sorts and routes incoming mail and makes preparations for outgoing mail.
Other responsibilities as assigned.
Regular, consistent and punctual attendance is required. May need to work nights and weekends, variable schedule(s) and additional hours as necessary.
Job Specifications

Education: A Secondary Certificate/High School Diploma or equivalent combination of relevant education and work experience that will allow successful performance of job expectations.

Years Experience: 0-2 years of relevant experience

Skills
Strong attention to detail, good organizational skills and the ability to prioritize with changing situations.
Ability to use existing procedures to solve straightforward problems.
Good interpersonal, written and verbal communication skills to drive tasks to completion.
Working knowledge of Microsoft Office.
Parker Meggitt is an equal opportunity employer and we are committed to developing an inclusive and diverse working environment. We believe that people from different backgrounds and beliefs define who we are as a business. We strongly believe that building a culture of respect and appreciation, will give everyone the opportunity to recognize their full potential.

Parker Meggitt is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, or sex including sexual orientation and gender identity, national origin, disability, protected Veteran Status, or any other characteristic protected by applicable federal, state, or local law.

If you are a qualified individual with a disability or a disabled veteran, you have the right to request accommodation if you are unable or limited in your ability to use or access our career center as a result of your disability. To request accommodation, contact a Human Resources Representative at 1-855-474-7665 at or HRISon@meggitt.com.

This position requires use of information which is subject to the International Traffic in Arms Regulations (ITAR). All applicants must be U.S. persons within the meaning of ITAR. ITAR defines a U.S. person as a U.S. Citizen, U.S. Permanent Resident (i.e. 'Green Card Holder'), Political Asylee, or Refugee."
4,Finance Intern,"Jack Morton Worldwide Detroit, MI On-site",Internship · Internship,"About the job
We believe in extraordinary.

The Finance Intern provides critical support to the Jack Morton Detroit Finance team by providing overall data entry, analytical and reporting support duties. This role will be focused on supporting the tracking, assignment and reconciliation of new and incremental business.

What You’ll Do

Assume ownership of assigned deliverables and ensure all tasks are flawlessly executed in line with required timeline.
Be provided with successfully more complex tasks as you develop and grow.
Get to know the other teams and the most effective ways to work together.
Have the opportunity to contribute in a meaningful way to the Finance team.
Commit to hard work, learning, and fun, day in, day out.

What You’ll Bring To Jack

Strong Excel expertise.
College Degree, or degree in progress.
Must have confidence in learning financial systems and reporting throughout month on results/activity.

Who you are!

A rising college junior, senior, recent grad, or grad student
Extraordinary! Both as a person and a multi-tasker
Detail-oriented: you leave nothing to chance
Creative problem solver: you’re able to change course at the drop of a hat
Cool under pressure, prepared for every possible situation that might pop up
Passionate, Agile, Respectful, and Brave!

What You Gain

We provide an intern experience as extraordinary as the work we deliver for our clients. We take our work seriously, but not ourselves (check out our blog and Instagram for more on that). You can expect to learn and grow from the best in the business and gain valuable agency experience while meeting and working with incredible people during a summer you’ll never forget.

Last, not least

Overachiever? We love it. Feel free to add a note (300 words max) addressing the following when you apply:

Why are you interested in Jack and this particular role?
Tell us: “Why choose me?”

Jack Morton and Genuine are equal opportunity employers; we strongly value diversity at our companies. We do not discriminate on race, religion, color, national origin, disability, sexual orientation, gender identity, gender expression, age, marital status, veteran status, or any other basis prohibited by law. In 2022, Jack Morton and Genuine, as part of Interpublic Group (IPG), have been named to the Bloomberg Gender Equality Index (GEI), and Jack Morton has once again been designated a Best Place To Work For LGBTQ Workplace Equality by the Human Rights Campaign in their Corporate Equality Index.

We make our careers website accessible to any and all users. If you need an accommodation to participate in the application process, please contact us at JobAppAccommodation@ipgdxtra.com. This email address is not for general employment inquiries or vendors; rather it is strictly for applicants who require special assistance accessing our employment website. Due to volume, messages sent to this email address that are not related to an accommodation cannot be answered.

JOB SCAM ALERT***

We have recently become aware that individuals not associated with Jack Morton have fraudulently used our name – and the names of some of our employees – to solicit applications for fake jobs, to conduct fake job interviews and to make fake job offers. Any request to schedule an interview and any bona fide offer of employment will only come from an authorized representative of Jack Morton with an email address “@jackmorton.com” or “@jackmorton.co.uk”. We will never require an applicant to provide credit card or banking information to cover any supposed advance costs.

If you have provided personal information in connection with a fake job offer or interview and you are concerned, we suggest that you take appropriate action.

Jack Morton takes these activities very seriously and are taking appropriate steps to shut down this fraudulent activity.

We urge you to be careful when sharing your personal information and to be aware of scams involving fake job postings and job offers."
5,"MBA Intern, Finance (Summer 2024)","Delta Air Lines Atlanta, GA On-site",Internship · Internship,"About the job
United States, Georgia, Atlanta

Finance

30-May-2023

Ref #: 20997

How you'll help us Keep Climbing (overview & key responsibilities)

Nearly 5,000 Delta Air Lines (NYSE: DAL) flights take off every day, connecting people across more than 265 destinations on six continents with award-winning operational excellence, customer service, safety and innovation. As the leading global airline, Delta's mission is to build opportunities, cultivate understanding and expand horizons by connecting people and communities to each other and their potential. Delta's 75,000 employees believe our customers should never have to choose between seeing the world and saving the planet. Delta is leading the travel industry in building a foundation for sustainable aviation with its Flight to Net Zero, committing to science-based targets for carbon emissions aligned with the Paris Agreements. And we are taking action to make travel more diverse, equitable and inclusive, reflecting the cultures and identities of the world we serve.

Our people lead the way in delivering a premier customer experience, and we're continuing to ensure the future of travel is personalized, enjoyable and stress-free. Our people's genuine and enduring motivation is to make every customer feel encouraged and respected across every point of their journey with us. Headquartered in Atlanta, Delta operates significant hubs and key markets in Amsterdam, Atlanta, Boston, Detroit, London-Heathrow, Los Angeles, Mexico City, Minneapolis-St. Paul, New York-JFK and LaGuardia, Paris-Charles de Gaulle, Salt Lake City, Seattle, Seoul-Incheon and Tokyo.

Finance at delta

Finance roles at Delta can be grouped broadly into two categories: corporate and divisional. Corporate finance departments evaluate strategic investments or opportunities, forecast and analyze expenses enterprise wide, and handle external reporting. Divisional finance departments serve as a strategic partner to the business units they support, helping the division manage revenues and expenses and achieve their goals. Upon completion, MBA Associates have the option to pursue careers in the following areas:

Corporate finance
Capital Planning
Corporate Development
Corporate Real Estate
Financial Planning
Flight Profitability
Fuel Management
Investor Relations
Treasury Capital Markets

Divisional finance
Airport Customer Service
Cargo
Flight Operations
In-Flight Services
IT Finance
Marketing
Reservations
Technical Operations

About The Program

The Finance Strategy MBA Leadership Development Program consists of a summer associate internship program and a full-time associate program within the Finance Division. Roles provide program participants exciting, significant, and ambitious work with an encouraging leadership team committed to their professional growth and development.

The project-based summer internship is typically ~10 weeks long from early June through early/mid-August and provides rising second year MBAs relevant finance experience, insight into the multifaceted airline industry, and a chance to create valuable contributions through revenue improvements and cost savings projects.

Program participants are offered numerous opportunities to learn about their functional areas as well as other parts of the organization. MBA Associates are encouraged to attend speaker events with company executives to gain insight into high level company strategy as well as gain exposure to senior leadership. Furthermore, several classroom and virtual training sessions are offered for continual development and growth of skills.

What You Need To Succeed (minimum Qualifications)
Current MBA Student
Candidates must have completed the first year of an MBA Program with a concentration in Finance, Economics, Strategy, Supply Chain or another analytical field by the Summer of 2024, have a planned MBA program graduation date by the Summer of 2025, and have at least 3 years of post-undergraduate, full-time work experience prior to enrolling in business school
At least three years of post-undergraduate, full-time work experience
Must be able to work onsite in our Atlanta, GA office for the duration of the internship
Curiosity about the airline industry
Analytical and creative problem solvers
Consistent track record of excellence
Ability to excel in fast-paced, matrix-team environment
Eligibility to work in the U.S. with no work visa or company sponsorship requirement now or in the future
Ideal candidates have strong analytical, leadership, written and verbal communication skills
Consistently prioritizes safety and security of self, others, and personal data.
Embraces diverse people, thinking, and styles.
Possesses a high school diploma, GED, or high school equivalency.
Is at least 18 years of age and has authorization to work in the United States.

What Will Give You a Competitive Edge (preferred Qualifications)
Ability to digest large amounts of data and information and succinctly explain what can be learned from the data and how it can support decision making
Desire to learn leadership techniques and best practices in problem solving and conflict resolution to enable innovation and progress on difficult to address challenges of our customers"
6,2024 Summer Intern-Private Equity Secondaries,"CF Private Equity Wilton Center, CT On-site",$40/hr · Internship · Internship,"About the job
CF Private Equity, a subsidiary of Commonfund, is a global private equity firm which has managed over $22 billion of private equity commitments, across 88 partnerships since inception in 1988. We have over 1,000 investors and a total staff of over 50 people in 5 global offices.
CF Private Equity invests in secondaries, primaries, and co-investments. The first dedicated secondary fund was launched in 2015. Since then, we have raised ~$2.0 billion in diversified secondary funds and are currently investing out of our fourth fund. In addition to our secondary program, CF Private Equity also has a Venture Capital team, a Global Private Equity team, and a Natural Resources & Environmental Sustainability team.

Position Overview:
We are currently seeking motivated and driven candidates for a 10-week internship position starting in the summer of 2024. The position would be within CF Private Equity’s Secondary Investment Team, where you will have the opportunity to play a vital role in supporting our investment professionals in the evaluation, analysis, and execution of secondary market transactions, with the stated goal of converting the individual(s) into a full-time employee upon graduation.
Primary Responsibilities:
Conduct research and analysis: Perform comprehensive market research and analysis to identify potential investment opportunities in the private equity secondary market. This includes analyzing historical fund performance, financial statements, and other relevant data.
Financial modeling and valuation: Assist in building and maintaining complex financial models to evaluate investment opportunities. Conduct valuation analyses, including discounted cash flow (DCF) modeling, comparable company analysis, and sensitivity analysis.
Due diligence support: Support the due diligence process by gathering and organizing data and participate in manager diligence calls. Help in preparing investment memos and presentations for internal and external stakeholders.
Portfolio monitoring: Assist in monitoring the performance of existing investments, tracking fund updates, and preparing reports for the investment team. Contribute to the preparation of quarterly and annual investment performance reports.
Market analysis: Stay informed about trends, developments, and competitive dynamics in the private equity secondary market. Monitor industry news, research reports, and regulatory changes to provide valuable insights to the team.
Data management: Maintain accurate and up-to-date records of investment transactions, and correspondence.
Team collaboration: Work closely with investment professionals and other teams within the firm to support deal execution and investment decision-making. Collaborate with colleagues to share information, insights, and best practices.

Qualifications:

Rising Senior currently enrolled in a Bachelor's degree program, preferably in finance, economics, or a related field.
Strong analytical and quantitative skills, with proficiency in financial modeling and valuation techniques.
Excellent research and data analysis abilities, with attention to detail.
Proficient in Microsoft Excel, Word, and PowerPoint.
Effective communication and interpersonal skills, with the ability to work in a team-oriented environment.
Strong organizational skills and the ability to prioritize tasks effectively.
Demonstrated interest in the financial markets, investments, and alternative assets."
7,"Summer Intern - Buying, Planning, Allocation","GUESS?, Inc. Los Angeles, CA On-site",$16.04/hr (from job description) · Internship · Internship,"About the job
Job Description

POSITION TITLE: Summer Intern - Buying

POSITION PURPOSE:

To provide general administrative and functional support to the department that the intern has been assigned to.

ESSENTIAL FUNCTIONS:

GUESS, Inc. believes in establishing a career path for enrolled college students. Our internship program offers a unique opportunity to explore the world of fashion with a goal of providing a meaningful, productive and successful experience for each intern.

In addition to your time spent in the office, you will have an opportunity to participate in a number of educational and social activities. The Internship Program is available to enrolled college students in good academic standing.

The program lasts for eight weeks and is offered at the Los Angeles Worldwide Headquarters. This is a paid internship. No relocation assistance will be provided.

EDUCATION: High School

YEARS OF EXPERIENCE: 0-2 Years

Location - City, Region or Area

Los Angeles, CA

Location

LA – World Headquarters

Fair Chance Initiative for Hiring Ordinance

Click here for more information

Salary Minimum

$16.04

Salary Maximum

$16.04

Base salary will be determined on various factors, including but not limited to, market data, internal equity, relevant background, and experience for the specified role. GUESS? Corporate employees are eligible for benefits such as medical, dental, vision, life, 401k, tuition reimbursement, PTO, on-site gym, employee discounts and more!"
8,"Summer Intern - Buying, Planning, Allocation","GUESS?, Inc. Los Angeles, CA On-site",$16.04/hr (from job description) · Internship · Internship,"About the job
Job Description

POSITION TITLE: Summer Intern - Buying

POSITION PURPOSE:

To provide general administrative and functional support to the department that the intern has been assigned to.

ESSENTIAL FUNCTIONS:

GUESS, Inc. believes in establishing a career path for enrolled college students. Our internship program offers a unique opportunity to explore the world of fashion with a goal of providing a meaningful, productive and successful experience for each intern.

In addition to your time spent in the office, you will have an opportunity to participate in a number of educational and social activities. The Internship Program is available to enrolled college students in good academic standing.

The program lasts for eight weeks and is offered at the Los Angeles Worldwide Headquarters. This is a paid internship. No relocation assistance will be provided.

EDUCATION: High School

YEARS OF EXPERIENCE: 0-2 Years

Location - City, Region or Area

Los Angeles, CA

Location

LA – World Headquarters

Fair Chance Initiative for Hiring Ordinance

Click here for more information

Salary Minimum

$16.04

Salary Maximum

$16.04

Base salary will be determined on various factors, including but not limited to, market data, internal equity, relevant background, and experience for the specified role. GUESS? Corporate employees are eligible for benefits such as medical, dental, vision, life, 401k, tuition reimbursement, PTO, on-site gym, employee discounts and more!"
9,INTERNSHIP OPPORTUNITIES - Finance (Talent Pipelining),"Aurobindo Pharma USA, Inc. East Windsor, NJ On-site",Internship · Internship,"About the job
Division Overview

Aurobindo Pharma USA, Inc. is a generic pharmaceutical manufacturer and distributor and is a wholly owned subsidiary of Aurobindo Pharma Limited, a leading generic pharmaceutical company based in India. Headquartered in HITEC City, Hyderabad, India, founded in 1986 and becoming a public company in India in 1992.

Aurobindo Pharma USA, Inc. is committed to delivering a broad portfolio of quality, affordable generic pharmaceuticals to pharmacists and patients. Aurobindo Pharma USA, Inc. adds value through superior customer service in the distribution of a broad line of generic pharmaceuticals, leveraging vertical integration and efficient controlled processes. Aurobindo has business operations in more than 125 countries around the world. Aurobindo is a global pharmaceutical company with a broad portfolio of generic drugs that includes more than 180 product families and 450 individual product packages.

Aurobindo markets over 80% of the top 100 most prescribed products in the world. In past years, Aurobindo has received more ANDA approvals than any of our competitors.

Job Overview

A Finance Internship with Aurobindo Pharma USA Inc. and/or one of its subsidiaries is a valuable learning opportunity through training, shadowing, and mentoring with a team of experienced Finance professionals. You will gain hands-on experience with finance principles in a fast-paced work environment.

This is a summer internship located onsite in East Windsor, New Jersey. Start and end dates are flexible.

Responsibilities
Assist AP/AR with tasks as needed
Data entry, maintaining electronic and paper files and verifying accuracy of formulas and calculations
General accounting support – processing journal entries, bank and credit card reconciliation, etc.
Assist in preparation of quarterly or monthly financial analysis reports
Assist with Month End Close Out
Help with financial modeling
Help with statistical analysis and other special projects
Qualifications - Skills & Requirements
Strong desire to learn
Excellent knowledge of Excel
Highly motivated and passionate
Excellent written and verbal communication skills
Ability to maintain confidentiality of sensitive information/documents
To protect the safety of our workforce, customers, and communities, the policy of the Company requires all employees and workers in the U.S. to be fully vaccinated against COVID-19, unless they have received an exception based on an approved request for a medical or religious reasonable accommodation. All applicants seeking a role located in the U.S. must confirm that they have already received or are willing to receive the full COVID-19 vaccination by their start date as a qualification of the role and condition of employment.

Education & Experience

Major in Finance, Accounts, Economics, or other related field

Physical Requirements

OFFICE POSITION - While performing the duties of this job the employee is required to:
Stand, sit; talk, hear, and use hands and fingers to operate a computer and telephone keyboard reach, stoop kneel to install computer equipment
Specific vision abilities required by this job include close vision requirements due to computer work
Light to moderate lifting is required
Moderate noise (i.e. business office with computers, phone, and printers, light traffic).
Ability to sit at a computer terminal for an extended period of time Sedentary work Exerting up to 10 pounds of force occasionally and/or negligible amount of force frequently or constantly to lift, carry, push, pull or otherwise move objects, including the human body. Sedentary work involves sitting most of the time. Jobs are sedentary if walking and standing are required only occasionally and all other sedentary criteria are met.
Additional Physical Requirements

Sitting 5-8 Hours No Additional Requirements

Blood/Fluid Exposure Risk

Category III: Tasks involve no exposure to blood, body fluids or tissues. Category I tasks are not a condition of employment.

We Are An Equal Opportunity Employer

Aurobindo Pharma USA, Inc. provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.

This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation, and training."
